name,state,latitude,longitude,famous_for,river,pyq,my_notes
Bandipur,Karnataka,11.6545,76.6306,Elephants,Kabini,Yes,
Kanha,Madhya Pradesh,22.3344,80.6115,Barasingha,Banjar,Yes,
Ranthambore,Rajasthan,26.0173,76.5026,Tigers,Banas,Yes,
Sundarbans,West Bengal,21.9497,89.1833,Mangrove Tigers,Ganga Delta,Yes,
Simlipal,Odisha,21.9497,86.3498,Tiger Habitat,Budhabalanga,Yes,
Periyar,Kerala,9.4625,77.2360,Elephants,Periyar,Yes,
Pench,Madhya Pradesh,21.7587,79.3022,Mowgli Inspiration,Pench,Yes,
Manas,Assam,26.6595,91.0011,Tiger + Elephant Reserve,Manas,Yes,
Dudhwa,Uttar Pradesh,28.5000,80.7000,Terai Ecosystem,Suheli,Yes,
Nagarhole,Karnataka,12.0000,76.1000,Western Ghats,Kabini,Yes,
